name,url,description
MinorPatch,https://www.minorpatch.com/,טופ השיט לאפליקציות למאק; אמין עדכני ואיכותי.
TorrentMac,https://www.torrentmac.net/,לא רע בכלל; המון משחקים ואפליקציות; פחות עדכני.
Torrminatorr,https://torrminatorr.com/,טופ נהדר; אבל צריך להירשם; יש הכל מהכל עדכני אבל זה מבוסס פורום אז טיפה מעצבן.
nMac,https://nmac.to/,טופ לבל שיט; יש הכל מהכל; טורנטים; לא תמיד מעודכן.
CZsofts,https://czsofts.com/, פשוט נהדרים; טורנט להכל מהכל בריבוע; לא תמיד מעודכן אבל שיט מטורף.
Appstorrent,https://appstorrent.org/,ליטרלי הכל; הדובדבן שבקצפת.
AppKed,https://macappdownload.com/,לא רע סהכ.
שלי,https://sadkjasldjlajdj3323213sdad.github.io/t/,נחמד סהכ.
filehorse,https://www.filehorse.com/,שימושי לפעמים.
OpenTosh,https://opentosh.com/,רק מה שפתוח ובטוח.
SCNLOG,https://scnlog.me/,אוצר חבוי.
FMHY,https://fmhy.net/linux-macos,נחמד ושימושי.
CDromance,https://apunkagames.click/cdromance/,לא מה שהיה פעם אבל לא רע בכלל.